University_link,Picture_Url,University_Name,nation_flag_picture,Country,City,Rank_In_World,Description,Global_Score,Enrollment,city_latitude,city_longitude,country_latitude,country_longitude
https://www.usnews.com/education/best-global-universities/university-of-glasgow-500110,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of Glasgow,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/GBR.svg,United Kingdom,Glasgow,#74,,72.8,"28,250",55.861155,-4.2501687,54.7023545,-3.2765753
https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of Illinois Urbana-Champaign,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Champaign,#74,,72.8,,40.1164841,-88.2430932,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/vanderbilt-university-221999,https://www.usnews.com/static-atlas/assets/img/education/education.svg,Vanderbilt University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Nashville,#78,,72.7,,36.1622767,-86.7742984,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/university-of-southern-california-123961,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of Southern California,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Los Angeles,#80,,72.5,"42,502",34.0536909,-118.242766,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248,https://www.usnews.com/object/image/00000157-013b-d00c-a1d7-4bbb24f90000/$160906_UTokyo?size=responsive300&update-time=1473194841577,University of Tokyo,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/JPN.svg,Japan,Tokyo,#81,"The University of Tokyo, also known as UTokyo or Todai, is a Japanese national university that was founded in 1877. The...",72.4,"26,112",35.6812665,139.757653,36.5748441,139.2394179
https://www.usnews.com/education/best-global-universities/vrije-universiteit-amsterdam-500669,https://www.usnews.com/static-atlas/assets/img/education/education.svg,Vrije Universiteit Amsterdam,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NLD.svg,Netherlands,Amsterdam,#82,VU University Amsterdam is a public institution that was founded in 1880. The Dutch university is located in the Zuidas...,72.3,,52.3730796,4.8924534,52.2434979,5.6343227
https://www.usnews.com/education/best-global-universities/university-of-western-australia-503979,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of Western Australia,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg,Australia,Crawley,#83,,72.2,"18,405",51.1103444,-0.1801094,-24.7761086,134.755
https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777,https://www.usnews.com/static-atlas/assets/img/education/education.svg,Pennsylvania State University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,University Park,#84,,71.9,"46,863",41.4400344,-87.683377,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/university-of-california-irvine-110653,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of California Irvine,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Irvine,#84,,71.9,"36,655",33.6856969,-117.8259819,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/university-of-groningen-500967,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of Groningen,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NLD.svg,Netherlands,Groningen,#88,"The University of Groningen is a public institution that was founded in 1614, making it one of the oldest universities...",71.5,"30,009",53.2190652,6.5680077,52.2434979,5.6343227
